Term,Query,8-2,apple,A_Cruel_Angels_Thesis,Crocodile_Icefish,Cthulhu,Definitely_not_porn,Elegy_For_Hallownest,Hoatzin,How_Octopuses_Have_Sex,huawei,Iberian_Ribbed_Newt,Im_lovin_it,Komm_susser_Tod,Mojito,Naruto,Portuguese_Man_O'_War,Psychosis,samsung,Santa_Cruz_Massacre,SCP-4217,Suicide_Among_College_Students,The_Ugly_Barnacle,Transistor,Vampire_Squid,Why_Animals_Keep_Evolving_Into_Crabs
lovin,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
im,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
